ID,Black,White,Result
315,MacIndoe J.B.,Reid W.,0
316,Reid W.,MacIndoe J.B.,1
317,MacIndoe J.B.,Reid W.,1
318,Reid W.,MacIndoe J.B.,1
319,MacIndoe J.B.,Reid W.,2
320,Martins R.,Wyllie J.,2
321,Wyllie J.,Martins R.,0
322,Martins R.,Wyllie J.,0
323,Wyllie J.,Martins R.,1
324,Martins R.,Wyllie J.,0
325,Wyllie J.,Martins R.,0
326,Martins R.,Wyllie J.,0
327,Wyllie J.,Martins R.,0
328,Martins R.,Wyllie J.,0
329,Wyllie J.,Martins R.,0
330,Martins R.,Wyllie J.,0
331,Wyllie J.,Martins R.,0
332,Martins R.,Wyllie J.,0
333,Wyllie J.,Martins R.,0
334,Martins R.,Wyllie J.,0
335,Wyllie J.,Martins R.,0
336,Martins R.,Wyllie J.,0
337,Wyllie J.,Martins R.,0
338,Martins R.,Wyllie J.,0
339,Wyllie J.,Martins R.,0
340,Martins R.,Wyllie J.,0
341,Wyllie J.,Martins R.,0
342,Martins R.,Wyllie J.,0
343,Wyllie J.,Martins R.,0
344,Martins R.,Wyllie J.,0
345,Wyllie J.,Martins R.,0
346,Martins R.,Wyllie J.,2
347,Wyllie J.,Martins R.,0
348,Martins R.,Wyllie J.,0
349,Wyllie J.,Martins R.,0
350,Martins R.,Wyllie J.,0
351,Wyllie J.,Martins R.,0
352,Martins R.,Wyllie J.,0
353,Wyllie J.,Martins R.,0
354,Martins R.,Wyllie J.,0
355,Wyllie J.,Martins R.,0
356,Wyllie J.,Martins R.,0
357,Martins R.,Wyllie J.,0
358,Wyllie J.,Martins R.,0
359,Martins R.,Wyllie J.,2
360,Wyllie J.,Martins R.,0
361,Martins R.,Wyllie J.,0
362,Wyllie J.,Martins R.,0
363,Martins R.,Wyllie J.,1
364,Wyllie J.,Martins R.,0
365,Martins R.,Wyllie J.,0
366,Wyllie J.,Martins R.,0
367,Martins R.,Wyllie J.,0
368,Wyllie J.,Martins R.,0
369,Martins R.,Wyllie J.,0
370,Wyllie J.,Martins R.,0
371,Martins R.,Wyllie J.,0
372,Martins R.,Wyllie J.,0
373,Wyllie J.,Martins R.,0
374,Wyllie J.,Martins R.,2
375,Martins R.,Wyllie J.,1
376,Wyllie J.,Martins R.,0
377,Martins R.,Wyllie J.,0
378,Wyllie J.,Martins R.,0
379,Martins R.,Wyllie J.,0
380,Wyllie J.,Martins R.,0
381,Martins R.,Wyllie J.,0
382,Wyllie J.,Martins R.,0
383,Martins R.,Wyllie J.,0
384,Wyllie J.,Martins R.,0
385,Martins R.,Wyllie J.,0
386,Wyllie J.,Martins R.,0
387,Martins R.,Wyllie J.,0
388,Wyllie J.,Martins R.,0
389,Martins R.,Wyllie J.,0
390,Wyllie J.,Martins R.,0
391,Martins R.,Wyllie J.,0
392,Wyllie J.,Jewitt G.,0
393,Wyllie J.,Robertson J.,0
394,Wyllie J.,Barker W.R.,0
395,Barker W.R.,Wyllie J.,0
396,Wyllie J.,Barker W.R.,1
397,Barker W.R.,Wyllie J.,0
398,Wyllie J.,Barker W.R.,0
399,Barker W.R.,Wyllie J.,0
400,Wyllie J.,Barker W.R.,0
401,Barker W.R.,Wyllie J.,2
402,Wyllie J.,Barker W.R.,1
403,Barker W.R.,Wyllie J.,0
404,Wyllie J.,Barker W.R.,0
405,Barker W.R.,Wyllie J.,0
406,Wyllie J.,Barker W.R.,0
407,Barker W.R.,Wyllie J.,0
408,Wyllie J.,Barker W.R.,0
409,Barker W.R.,Wyllie J.,0
410,Wyllie J.,Barker W.R.,0
411,Barker W.R.,Wyllie J.,0
412,Barker W.R.,Wyllie J.,0
413,Wyllie J.,Barker W.R.,0
414,Barker W.R.,Wyllie J.,2
415,Wyllie J.,Barker W.R.,0
416,Barker W.R.,Wyllie J.,0
417,Wyllie J.,Barker W.R.,1
418,Barker W.R.,Wyllie J.,0
419,Wyllie J.,Barker W.R.,0
420,Barker W.R.,Wyllie J.,0
421,Wyllie J.,Barker W.R.,1
422,Barker W.R.,Wyllie J.,1
423,Wyllie J.,Barker W.R.,0
424,Barker W.R.,Wyllie J.,2
425,Wyllie J.,Barker W.R.,1
426,Barker W.R.,Wyllie J.,0
427,Wyllie J.,Barker W.R.,0
428,Barker W.R.,Wyllie J.,0
429,Wyllie J.,Barker W.R.,0
430,Barker W.R.,Wyllie J.,0
431,Wyllie J.,Barker W.R.,0
432,Barker W.R.,Wyllie J.,2
433,Wyllie J.,Barker W.R.,1
434,Barker W.R.,Wyllie J.,0
435,Martins R.,Steel J.,0
